id,name,signup_date,last_login,age,income,country,email,phone,purchase_amount,preferred_contact,subscription,latitude,longitude,comments,product_codes,feedback_score,canceled,extra_json
461,,"27 Jan, 2023","18 Mar, 2024",31,"€55,930",United States,@missing.com,,$123.27,phone,unsubscribed,-41.833318N,120.772881E,,"P332,P856,P601,P245",3,,"{""ref"": 1078, ""promo"": ""B""}"
975,Élodie Chen,2024/09/18,2025-02-13,unknown,"($92,095)",Brasil,élodie99@example.com,+1-838-237-0844,$-223.60,phone,,36.589901,120.404971,Loved it 😊,"P832,P792,P405",5,N,"{""ref"": 3635, ""promo"": null}"
841,"name,signup_date,age,income",20-Jan-2022,08-Feb-2024,unknown,"$54,609",Brazil,header@example.com,0493 397 453,$90.25,E-mail,Subscribed,76.690721,-121.789961,no comment,"P410,P361,P329",4,N,"{""ref"": 7188, ""promo"": ""A""}"
576,,2023-08-28,2024-07-07,49,"$37,306",United States,unknown@,0441 429 049,$241.54,,Y,57.929570,57.423877,Loved it 😊,"P565,P515,P870",3,N,"{""ref"": 1735, ""promo"": ""A""}"
328,mikhail KHAN,2023-09-30 00:28:45,2025/11/19 00:28:45,,"$77,409",Brazil,mikhail88@hotmail.com,0444 953 006,$196.42,—,Yes,51.950694,6.216860,   spaced out   ,P174,2,no,"{""ref"": 4008, ""promo"": ""C""}"
674,Élodie García,"20 Oct, 2025 00:28:45",2024/04/29,,57638 USD,united states,élodie40@mail.org,+1-178-605-7767,$153.57,email,Yes,41.106754,-55.509805,Great service!,"P643,P554",,N,"{""ref"": 1211, ""promo"": ""B""}"
640,Élodie O'ReillyJr,12-15-22,18-Nov-2025,unknown,"$84,914",Untied Kingdom,élodie26 at gmail.com,0407 718 235,$82.68,,FALSE,78.387212,-113.136094,Loved it 😊,"P546,P463,P451,P363",3,no,"{""ref"": 4690, ""promo"": ""C""}"
237,Sara Brown,22/02/2023,December 28 2023,unknown,57982 USD,USA,sara80@example.com,4346066643,$126.29,,Yes,-82.516885,-126.596448,,"P778,P806",4,Y,"{""ref"": 4004, ""promo"": ""C""}"
931,Sara Chen,"03 Dec, 2020",2024-04-14,unknown,$57k,Uk,sara20@gmail.com,+44 0910 276471,$72.12,phone,Y,9999,9999,no comment,P233,2,no,"{""ref"": 8373, ""promo"": ""B""}"
646,Charlie Chen,23-Nov-2021,Jun 16 2025,unknown,"$90,577",United States,charlie39@mail.org,+44 8628 868879,$99.29,E-mail,Yes,-68.419603,84.573305,   spaced out   ,P632,1,N,"{""ref"": 5910, ""promo"": ""C""}"
465,Zoë KhanJr,"12 Apr, 2024 00:28:45",17-Jun-2024,unknown,$60k,France,zoë86@mail.org,(062) 917-9265,$173.83,Phone,TRUE,-68.362699,-84.390180,no comment,P848,2,Y,"{""ref"": 5033, ""promo"": null}"
